Formula,Sites,Energy_Above Hull,Formation_Energy,Volume,Density,Band_Gap
SrCO3,10,0.036157646,-2.662804632,140.84579421162286,3.4810206038648612,4.2823
BaCO3,10,0.033765908000001,-2.649013353,167.4391229382875,3.9140669807909143,4.0287
LiVO3,10,0.111348965000007,-2.316607729,109.48133773155732,3.211854045482234,2.0933
LiNbO3,10,0.055166170000003005,-2.844351482,125.0137888789659,3.9276205227540713,3.4857
RbNbO3,20,0.024319368,-2.814731651,351.06995002341193,4.282909210134933,2.8197
CaSiO3,10,0.24373002783333403,-3.204318187,94.00639676203232,4.103785434537042,3.514599999999999
NaNbO3,10,0.030859024999998003,-2.81396374,124.81392265583447,4.3609392924035895,1.5604
MgSiO3,80,0.020657474666670003,-3.21037992,873.6374877360022,3.052970790018315,4.6316
MgSiO3,80,0.01051417991667,-3.220523215,887.8358053691328,3.004147518035803,4.7926
MgSiO3,40,0.021623114416669,-3.209414281,436.5315647670951,3.054979234486786,4.4998000000000005
MgSiO3,80,0.016838666291670003,-3.214198729,876.3740558702989,3.043437574694401,4.5845
MnCO3,20,0.029906560500000002,-1.983078076,222.95507445916135,3.424436841759954,3.7996
LiPO3,100,0.0025110323333320003,-2.700216261,1212.1365465148035,2.353890411744613,5.7828
SnGeO3,60,0.039728433999997,-1.906145925,970.7966069728828,4.912835917624815,2.281099999999999
SiSnO3,60,0.029296765500003003,-2.586283002,911.6581951128397,4.257681887947367,2.6768
CaSiO3,20,0.243724608333334,-3.204323607,187.86589811423534,4.106994251301068,3.724199999999999
MgSiO3,80,0.010191609166669,-3.220845786,874.8657585325333,3.04868456115695,4.8602
KNO3,20,0.013152605000001,-1.408985992,315.2832078512625,2.129968351147125,2.9530000000000003
KNO3,20,0.04636575850000001,-1.375772838,342.9553556651237,1.958106917645145,3.1418
ScMnO3,20,0.049973920562498005,-2.941352322,218.73503434359637,4.49092583781479,1.7979999999999992
MgSiO3,40,0.30047063966666904,-2.930566756,516.8651038561686,2.580160385392563,3.050099999999999
MgSiO3,40,0.29466539991667,-2.936371995,499.1010859598058,2.671993516096853,3.273199999999999
KAsO3,120,0.002884352749998,-1.936051058,2092.85185185622,3.085214666955281,3.1596
LiNbO3,40,0.013330627000003,-2.886187025,486.2850493830286,4.038838730092427,3.1296
HNO3,40,0.002868965124999,-0.887443396,421.3961537077176,1.9864496957165951,3.8973999999999993
FeBO3,40,0.09194137625000201,-2.178420956,402.110928972674,3.787766300929518,1.517599999999999
MnSeO3,40,0.007921510250000001,-1.642958424,590.79741054001,4.09000873059703,3.3754
MnSeO3,40,0,-1.650879935,571.6395348681684,4.227080913289214,3.099599999999999
CsPO3,20,0,-2.673982259,371.02901781186864,3.793026488181845,5.422300000000001
AlFeO3,20,0.210626289,-2.356194892,197.90872811237276,4.390702550514783,1.360799999999999
KCO3,20,0.051536653375002,-1.479827735,329.3538354723892,1.998718215929988,1.488499999999999
MnSiO3,40,0.017891537666672,-2.779968236,461.88819584845714,3.76830112745268,2.875499999999999
AgPO3,40,0,-1.958048158,523.544804128728,4.7408418269331225,2.0232
CsNbO3,40,0,-2.832048804,769.5758857758333,4.7264709115834425,3.3517
MnSO3,40,0.072435846071429,-1.872217545,566.8840743222142,3.163607538351383,4.1546
SbAsO3,20,0,-1.697553926,328.7660241411086,4.943337655030774,3.509899999999999
LiPO3,60,0,-2.702727293,703.0385066061369,2.435061437820981,5.7219999999999995
HgClO3,40,0.04271014150000001,-0.46223136,781.0536097755594,4.831028274839969,3.066099999999999
