formula,Eg
TiMnO3,2.526
TmMnO3,0.422
YMnO3,0.405
YbMnO3,0.493
BaMoO3,0
CaMoO3,1.154
SrMoO3,1.087
AgNO3,1.854
BrNO3,2.164
CsNO3,3.298
HgNO3,2.582
KNO3,2.916
LiNO3,2.94
NaNO3,2.955
RbNO3,3.243
TlNO3,2.787
BaNbO3,0
CaNbO3,0
CsNbO3,3.319
EuNbO3,0
KNbO3,2.305
LiNbO3,3.338
NaNbO3,3.861
RbNbO3,3.307
SrNbO3,0
BaNiO3,1.534
DyNiO3,0
ErNiO3,0
EuNiO3,0
GdNiO3,0
HoNiO3,0
LaNiO3,0
LuNiO3,0.06
MnNiO3,1.901
NdNiO3,0
PrNiO3,0
SmNiO3,0
TiNiO3,2.724
TlNiO3,0
TmNiO3,0
YNiO3,0
YbNiO3,0
BaOsO3,0
CaOsO3,0
LiOsO3,0
AgPO3,2.025
KPO3,5.042
LiPO3,5.59
NaPO3,5.081
RbPO3,4.847
SnPO3,0.519
TlPO3,3.462
BaPbO3,0.227
CaPbO3,0.934
CrPbO3,0
GePbO3,2.719
HfPbO3,2.716
MnPbO3,0
NiPbO3,0.389
OsPbO3,0
SiPbO3,3.157
SnPbO3,1.357
SrPbO3,0.799
TcPbO3,0
TePbO3,3.044
TiPbO3,1.836
VPbO3,1.372
ZnPbO3,0
ZrPbO3,2.776
LaPdO3,0
BaPrO3,0
SrPrO3,0
YbPrO3,0
CaPtO3,1.273
BaPuO3,0
SrPuO3,0
LiReO3,0
BaRhO3,0
BiRhO3,0.367
CaRhO3,0
CeRhO3,0
DyRhO3,0.818
ErRhO3,0.899
EuRhO3,0
HoRhO3,0.868
InRhO3,0.112
LaRhO3,0.594
NdRhO3,0.647
PrRhO3,0.601
SmRhO3,0.733
SrRhO3,0
TbRhO3,0.872
TmRhO3,0.945
YRhO3,0.803
YbRhO3,0
BaRuO3,0
CaRuO3,0
LaRuO3,0.008
PrRuO3,0
SrRuO3,0.019
CdSO3,3.223
CsSO3,5.111
FeSO3,3.066
KSO3,4.995
MnSO3,4.226
PbSO3,3.639
RbSO3,5.026
AgSbO3,0.128
DySbO3,0
HoSbO3,0
KSbO3,2.66
LiSbO3,2.138
NaSbO3,2.658
NdSbO3,0
SmSbO3,0
TlSbO3,2.436
YSbO3,0
CeScO3,0
DyScO3,4.457
ErScO3,4.453
EuScO3,0
GdScO3,3.142
HoScO3,4.472
LaScO3,3.883
NdScO3,4.294
PrScO3,4.259
SmScO3,4.358
TbScO3,4.436
TmScO3,4.456
YScO3,3.141
BaSeO3,3.903
CaSeO3,4.234
CdSeO3,3.405
CoSeO3,2.631
CuSeO3,0
HgSeO3,2.571
MgSeO3,4.005
MnSeO3,3.098
NiSeO3,3.022
PbSeO3,2.909
PdSeO3,1.048
